Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Abarenicola pacifica,Lug worm,Present,Kachemak_Bay,Species,326192,"Healy & Wells, 1959",Animalia,Annelida,Polychaeta,NA,Arenicolidae,Abarenicola,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola pacifica Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=326192 on 2024-02-21",2024-02-21,WORMS
Abietinaria,NA,Present,Kachemak_Bay,Genus,117225,"Kirchenpauer, 1884",Animalia,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae,Abietinaria,"Schuchert, P. (2024). World Hydrozoa Database. Abietinaria Kirchenpauer, 1884. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=117225 on 2024-02-21",2024-02-21,WORMS
Abietinaria sp.,Sea spruce,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthodoris nanaimoensis,Nanaimo dorid,Present,Kachemak_Bay,Species,535685,"O'Donoghue, 1921",Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,"MolluscaBase eds. (2024). MolluscaBase. Acanthodoris nanaimoensis O'Donoghue, 1921. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=535685 on 2024-02-21",2024-02-21,WORMS
Acanthodoris sp.,Spiny sand doris,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter gentilis,Northern Goshawk,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accipiter striatus,Sharp-shinned Hawk,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achillea millefolium var. borealis,Common yarrow/Northern yarrow/Boreal yarrow,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achillea sp.,Yarrow,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acmaea mitra,Pacific white cap limpet; Pacific white tortoiseshell limpet; whitecap limpet,Present,Kachemak_Bay,Species,456582,"Rathke, 1833",Animalia,Mollusca,Gastropoda,NA,Acmaeidae,Acmaea,"MolluscaBase eds. (2024). MolluscaBase. Acmaea mitra Rathke, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=456582 on 2024-02-21",2024-02-21,WORMS
