Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Abarenicola pacifica,Lug worm,Present,Kachemak_Bay,Species,326192,"Healy & Wells, 1959",Animalia,Annelida,Polychaeta,NA,Arenicolidae,Abarenicola,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Abarenicola pacifica Healy & Wells, 1959. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=326192 on 2024-02-21",2024-02-21,WORMS
Ampharete acutifrons,NA,Present,Kachemak_Bay,Species,129775,"(Grube, 1860)",Animalia,Annelida,Polychaeta,Terebellida,Ampharetidae,Ampharete,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ampharete acutifrons (Grube, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129775 on 2024-02-21",2024-02-21,WORMS
Arctonoe vittata,Yellow scale worm,Present,Kachemak_Bay,Species,254301,"(Grube, 1855)",Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Arctonoe,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Arctonoe vittata (Grube, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254301 on 2024-02-21",2024-02-21,WORMS
Axiothella rubrocincta,Bamboo worm,Present,Kachemak_Bay,Species,254726,"(Johnson, 1901)",Animalia,Annelida,Polychaeta,NA,Maldanidae,Axiothella,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Axiothella rubrocincta (Johnson, 1901). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254726 on 2024-02-21",2024-02-21,WORMS
Bonellia viridis,green spoon worm; green spoonworm,Present,Kachemak_Bay,Species,110363,"Rolando, 1822",Animalia,Annelida,Polychaeta,Echiuroidea,Bonelliidae,Bonellia,"WoRMS (2024). Bonellia viridis Rolando, 1822. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110363 on 2024-02-21",2024-02-21,WORMS
Capitella capitata,gallery worm,Present,Kachemak_Bay,Species,129876,"(Fabricius, 1780)",Animalia,Annelida,Polychaeta,NA,Capitellidae,Capitella,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Capitella capitata (Fabricius, 1780). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129876 on 2024-02-21",2024-02-21,WORMS
Chone minuta,NA,Present,Kachemak_Bay,Species,326735,"Hartman, 1944",Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Chone,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Chone minuta Hartman, 1944. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=326735 on 2024-02-21",2024-02-21,WORMS
Cirratulus spectabilis,Intertidal gillworm,Present,Kachemak_Bay,Species,332688,"(Kinberg, 1866)",Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Cirratulus,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Cirratulus spectabilis (Kinberg, 1866). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=332688 on 2024-02-21",2024-02-21,WORMS
Crucigera irregularis,Red and white tube worm,Present,Kachemak_Bay,Species,337963,"Bush, 1905",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Crucigera,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Crucigera irregularis Bush, 1905. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=337963 on 2024-02-21",2024-02-21,WORMS
Eubonellia valida,NA,Present,Kachemak_Bay,Species,266608,"Fisher, 1946",Animalia,Annelida,Polychaeta,Echiuroidea,Bonelliidae,Eubonellia,"WoRMS (2024). Eubonellia valida Fisher, 1946. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=266608 on 2024-02-21",2024-02-21,WORMS
