Taxon,SubGroup,Common Name,Scientific Name,Status(TBD),Locality,Source,Source Date,Notes,AphiaID,url,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified,Date Taxonomy Updated
Animalia,Cnidaria,NA,Anthopleura artemisia,Present,Kachemak_Bay,2,2023,NA,283337,https://www.marinespecies.org/aphia.php?p=taxdetails&id=283337,"(Pickering in Dana, 1846)",accepted,NA,220,Species,283337,Anthopleura artemisia,"(Pickering in Dana, 1846)",100696,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Anthopleura artemisia (Pickering in Dana, 1846). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=283337 on 2024-01-24",urn:lsid:marinespecies.org:taxname:283337,1,NA,NA,0,NA,exact,2015-10-13T10:34:41.473Z,2024-01-23
Animalia,Cnidaria,NA,Urticina crassicornis,Present,Kachemak_Bay,2,2023,NA,100832,https://www.marinespecies.org/aphia.php?p=taxdetails&id=100832,"(Müller, 1776)",accepted,NA,220,Species,100832,Urticina crassicornis,"(Müller, 1776)",100706,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Urticina,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Urticina crassicornis (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=100832 on 2024-01-24",urn:lsid:marinespecies.org:taxname:100832,1,NA,NA,NA,NA,exact,2018-01-03T20:11:03.760Z,2024-01-23
Animalia,Mollusca,NA,Lottia,Present,Kachemak_Bay,2,2023,NA,160336,https://www.marinespecies.org/aphia.php?p=taxdetails&id=160336,"Gray, 1833",accepted,NA,180,Genus,160336,Lottia,"Gray, 1833",411586,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,"MolluscaBase eds. (2024). MolluscaBase. Lottia Gray, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=160336 on 2024-01-24",urn:lsid:marinespecies.org:taxname:160336,1,0,0,0,0,exact,2020-03-29T04:58:34.077Z,2024-01-23
Animalia,Echinodermata,NA,Leptasterias hexactis,Present,Kachemak_Bay,2,2023,NA,369177,https://www.marinespecies.org/aphia.php?p=taxdetails&id=369177,"(Stimpson, 1862)",accepted,NA,220,Species,369177,Leptasterias hexactis,"(Stimpson, 1862)",123222,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,"Mah, C.L. (2024). World Asteroidea Database. Leptasterias hexactis (Stimpson, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=369177 on 2024-01-24",urn:lsid:marinespecies.org:taxname:369177,1,0,0,0,0,exact,2017-06-19T16:23:34.257Z,2024-01-23
Animalia,Mollusca,NA,Mopalia,Present,Kachemak_Bay,2,2023,NA,385567,https://www.marinespecies.org/aphia.php?p=taxdetails&id=385567,"Gray, 1847",accepted,NA,180,Genus,385567,Mopalia,"Gray, 1847",385536,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,"MolluscaBase eds. (2024). MolluscaBase. Mopalia Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=385567 on 2024-01-24",urn:lsid:marinespecies.org:taxname:385567,1,NA,0,0,NA,exact,2019-08-29T22:58:57.817Z,2024-01-23
Animalia,Mollusca,NA,Tectura,Present,Kachemak_Bay,2,2023,NA,138142,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138142,"J. E. Gray, 1847",accepted,NA,180,Genus,138142,Tectura,"J. E. Gray, 1847",411589,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Tectura,"MolluscaBase eds. (2024). MolluscaBase. Tectura J. E. Gray, 1847. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138142 on 2024-01-24",urn:lsid:marinespecies.org:taxname:138142,1,0,0,0,0,exact,2024-01-02T17:18:06.773Z,2024-01-23
Animalia,Mollusca,NA,Tonicella,Present,Kachemak_Bay,2,2023,NA,138090,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138090,"P. P. Carpenter, 1873",accepted,NA,180,Genus,138090,Tonicella,"P. P. Carpenter, 1873",385537,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,"MolluscaBase eds. (2024). MolluscaBase. Tonicella P. P. Carpenter, 1873. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138090 on 2024-01-24",urn:lsid:marinespecies.org:taxname:138090,1,0,0,0,0,exact,2023-01-07T07:26:23.860Z,2024-01-23
Animalia,Echinodermata,NA,Evasterias troschelii,Present,Kachemak_Bay,2,2023,NA,255040,https://www.marinespecies.org/aphia.php?p=taxdetails&id=255040,"(Stimpson, 1862)",accepted,NA,220,Species,255040,Evasterias troschelii,"(Stimpson, 1862)",254332,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,"Mah, C.L. (2024). World Asteroidea Database. Evasterias troschelii (Stimpson, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=255040 on 2024-01-24",urn:lsid:marinespecies.org:taxname:255040,1,0,0,0,0,exact,2017-06-19T16:23:34.257Z,2024-01-23
Animalia,Annelida,NA,Porifera,Present,Kachemak_Bay,2,2023,NA,558,https://www.marinespecies.org/aphia.php?p=taxdetails&id=558,"Grant, 1836",accepted,NA,30,Phylum,558,Porifera,"Grant, 1836",2,Animalia,Porifera,NA,NA,NA,NA,WoRMS (2024). Porifera. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=558 on 2024-01-24,urn:lsid:marinespecies.org:taxname:558,1,1,1,0,0,exact,2016-08-25T08:03:30.877Z,2024-01-23
Animalia,Mollusca,NA,Katharina tunicata,Present,Kachemak_Bay,2,2023,NA,386338,https://www.marinespecies.org/aphia.php?p=taxdetails&id=386338,"(W. Wood, 1815)",accepted,NA,220,Species,386338,Katharina tunicata,"(W. Wood, 1815)",385566,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,"MolluscaBase eds. (2024). MolluscaBase. Katharina tunicata (W. Wood, 1815). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386338 on 2024-01-24",urn:lsid:marinespecies.org:taxname:386338,1,0,0,0,NA,exact,2023-01-25T07:42:39.710Z,2024-01-23
